file	true_label	predicted_label
MAL_MSA_17	POSITIVE	POSITIVE
TAM_MSA_25	HIGHLY NEGATIVE	POSITIVE
TAM_MSA_47	NEGATIVE	NEUTRAL
TAM_MSA_44	POSITIVE	HIGHLY POSITIVE
TAM_MSA_09	HIGHLY POSITIVE	POSITIVE
TAM_MSA_30	POSITIVE	POSITIVE
MAL_MSA_28	POSITIVE	POSITIVE
MAL_MSA_22	NEGATIVE	POSITIVE
TAM_MSA_36	NEGATIVE	POSITIVE
TAM_MSA_16	NEUTRAL	POSITIVE
TAM_MSA_17	HIGHLY NEGATIVE	POSITIVE
TAM_MSA_23	NEUTRAL	POSITIVE
MAL_MSA_14	NEUTRAL	POSITIVE
TAM_MSA_35	POSITIVE	POSITIVE
MAL_MSA_25	POSITIVE	POSITIVE
TAM_MSA_29	POSITIVE	POSITIVE
MAL_MSA_16	POSITIVE	POSITIVE
TAM_MSA_53	HIGHLY POSITIVE	POSITIVE
MAL_MSA_07	POSITIVE	POSITIVE
MAL_MSA_44	POSITIVE	POSITIVE
MAL_MSA_03	POSITIVE	POSITIVE
MAL_MSA_40	POSITIVE	HIGHLY POSITIVE
MAL_MSA_34	POSITIVE	NEUTRAL
MAL_MSA_26	NEGATIVE	POSITIVE
MAL_MSA_60	POSITIVE	POSITIVE
MAL_MSA_43	POSITIVE	NEGATIVE
MAL_MSA_41	NEGATIVE	POSITIVE
MAL_MSA_57	HIGHLY POSITIVE	POSITIVE
TAM_MSA_19	POSITIVE	POSITIVE
MAL_MSA_01	POSITIVE	POSITIVE
MAL_MSA_08	HIGHLY POSITIVE	POSITIVE
TAM_MSA_33	POSITIVE	POSITIVE
TAM_MSA_04	HIGHLY POSITIVE	POSITIVE
TAM_MSA_43	POSITIVE	POSITIVE
MAL_MSA_59	POSITIVE	HIGHLY POSITIVE
TAM_MSA_11	POSITIVE	HIGHLY POSITIVE
MAL_MSA_55	NEGATIVE	POSITIVE
